run	question	choice_a	choice_b	choice_c	choice_d	choice_e	answer
15	Comment le géographe justifie-t-il sa méconnaissance de sa propre planète ? 	a) Il est blessé.	b) Il n’est pas un explorateur.	c) Il ne pense pas que ce soit nécessaire.	d) Il ne veut rien apprendre à ce sujet.	e) Je ne sais pas.	b
16	Quelle est la caractéristique principale de la Terre ?	a) Elle a une seule montagne.	b) Elle est habitée par un roi et des buveurs.	c) Ce n’est pas une planète quelconque	d) Elle a des paysages très monotones.	e) Je ne sais pas.	c
17	Quelle affirmation du serpent a surpris le Petit Prince ?	a) Que les humains parlent beaucoup.	b) Que les humains sont solitaires.	c) Qu’il n’y a pas de moutons sur Terre.	d) Que les humains ne parlent jamais aux gens des autres planètes.	e) Je ne sais pas.	b
18	Quelle croyance exprime la fleur que le Petit Prince rencontre sur Terre ?	a) Il y a beaucoup d’hommes sur Terre.	b) Il n’y a que quelques hommes sur Terre.	c) Il y a beaucoup de fleurs sur Terre .	d) Il n’y a que quelques fleurs sur Terre.	e) Je ne sais pas.	c
19	Après avoir rencontré les roses sur Terre, comment se sent le Petit Prince ?	a) Enthousiaste et revigoré	b) Triste et trahi	c) En colère et énervé	d) Calme et méditatif	e) Je ne sais pas.	b
20	Que suggère le renard au Petit Prince pour qu’ils deviennent amis ?	a) Partager des repas ensemble.	b) Chasser des poules ensemble.	c) Être patient et s’asseoir chaque jour un peu plus près.	d) Parler longuement pour mieux se comprendre.	e) Je ne sais pas.	c
21	Quel état d’âme caractérise le renard après que le Petit Prince l'ait apprivoisé ?	a) Enthousiaste	b) En colère	c) Nostalgique	d) Heureux	e) Je ne sais pas.	d
22	Qui, dans le train, sait ce qu’il cherche ?	a) Les adultes	b) Les enfants	c) Les bébés	d) Le conducteur de la locomotive	e) Je ne sais pas.	b
23	Le Petit Prince et le narrateur tombent d’accord sur une chose. Laquelle ?	a) Que les avions sont un bon moyen de transport.	b) Que la Terre est très aride.	c) Que l’eau est le besoin le plus fondamental pour l’Homme.	d) Que les choses sont rendues belles par l’invisible qu’elles cachent.	e) Je ne sais pas.	d
24	Pourquoi le Petit Prince était-il dans le désert quand le narrateur l’a rencontré ?	a) C’était l’anniversaire de sa descente sur Terre.	b) Il n’aimait plus la Terre.	c) Il avait besoin d’arroser sa fleur.	d) C’était l’anniversaire de la naissance de sa fleur.	e) Je ne sais pas.	a
25	Quel dialogue se déroule entre le Petit Prince et une voix mystérieuse ?	a) Le Petit Prince parle avec une voix qui lui demande s’il a du venin.	b) La voix lui demande de partir.	c) Le Petit Prince discute avec une voix qui lui indique un endroit précis dans le sable.	d) Le Petit Prince converse avec une voix qui lui pose des questions sur les serpents.	e) Je ne sais pas.	c
26	Quel cadeau le Petit Prince promet-il de faire au narrateur ?	a) Des étoiles qui lui serviront de guides dans ses voyages.	b) Des étoiles qui sauront rire.	c) Des étoiles qui lui apporteront de l’or.	d) Des fleurs par milliers.	e) Je ne sais pas.	b
27	Quelle comparaison le Petit Prince utilise-t-il pour décrire son départ ?	a) Un oiseau qui s’envole.	b) Une étoile filante.	c) Une vieille écorce abandonnée.	d) Un torrent dévalant une montagne.	e) Je ne sais pas.	c
28	Six ans après leur rencontre, à quoi songe le narrateur ?	a) Aux jours qu’il a passé avec le Petit Prince.	b) A quel point le Petit Prince aime ses moutons.	c) A quel point le Petit Prince aime sa fleur.	d) A ce qu’il se passe sur la planète du Petit Prince.	e) Je ne sais pas.	d
